Term,GSM175766,GSM175767,GSM175768,GSM175769,GSM175770,GSM175771,GSM175772,GSM175773,GSM175774,GSM175775,GSM175776,GSM175777,GSM175778,GSM175779,GSM175780,GSM175781,GSM175782,GSM175783,GSM175784,GSM175785,GSM629719,GSM629720,GSM629721,GSM629722,GSM629723,GSM629724,GSM629725,GSM629726,GSM629727,GSM629728,GSM629729,GSM629730,GSM629731,GSM629732,GSM629733,GSM629734,GSM629735,GSM629736,GSM629737,GSM629738,GSM629739,GSM629740
GSE16755_CTRL_VS_IFNA_TREATED_MAC_UP,1739.5183737522057,1954.4731957639788,1900.638423561887,1901.047124447763,1813.9351890249181,1937.4170895884754,1934.2518304874557,1898.3572183339284,1907.985708239692,1752.6549979335168,1641.5842588727646,1631.7870758329818,1614.5833640337196,1615.5782217863516,1806.9843474088702,1780.326665616909,1564.356993177781,1381.4841949357724,1590.7437780604014,1612.2870058694652,1461.4335628118843,1400.7708740205626,1375.0324983653445,1660.412884000135,1156.1053795684802,1627.1088144947762,1501.709377694683,1200.2368333105078,1600.727003481259,1491.860566600927,1633.3926071737287,1438.7062654386118,1536.3840754955318,1804.5688153274787,1495.0346558868969,1382.9608897208045,1620.7186010885334,1427.142201336188,1535.403144247799,1565.8391142661112,1042.6571841388577,1558.2888079426866
GSE17186_BLOOD_VS_CORD_BLOOD_CD21HIGH_TRANSITIONAL_BCELL_DN,1021.4698821436541,1033.135127805037,1072.0388357048787,1172.259537855166,1121.1467404659152,1041.470428622093,1176.7196736268625,1064.2123607639523,981.408032195629,769.9433480475236,737.3419321945994,972.7873984567541,839.4134925129447,1161.5536324147333,790.7736273385117,926.4980391651134,805.8157263081112,815.7829839206088,856.0427550038803,844.9442457298646,886.6253703156599,906.4220527989564,1113.8030442457857,637.8216462202254,1166.2199442100846,1140.8481629003873,1137.223134655349,1111.5401348929045,697.4977074707558,1082.805521361326,1209.955965698019,1075.9171293426525,896.2601711927018,1058.8542359212133,912.118067345371,1038.8444681026676,642.8512719278342,1063.6655116998263,1190.221647113698,1126.8044062219114,1127.1655073562843,1034.5456992392883
GSE17186_BLOOD_VS_CORD_BLOOD_CD21HIGH_TRANSITIONAL_BCELL_UP,1970.402242003689,1962.5607526839394,1829.9673361730793,1968.2638474454134,2001.1774165750312,1861.6921329989927,1931.7386204849427,1895.9706385297604,1906.8391544814094,2108.8507675494393,2356.746367476064,2123.4937798131286,2244.5978015629817,2149.565970923586,1991.6603152317984,2088.608183606986,2182.8542708704435,2314.8753527050985,2240.5596364243875,2212.562730327274,2083.095923007344,2142.0661285578035,1761.517894010506,2457.2656000220622,1764.6445202552704,1929.6628624419936,2163.829614445507,1790.0242485044973,2443.666644560649,1725.2494113697903,2079.2774893294236,1937.1172505929117,2352.9810122326153,1900.040447598807,1883.4302812207998,1932.9317775035897,2411.612643500055,1995.8134032249563,2055.433682723019,1963.6619186176285,1842.686357447491,1964.2491654565265
GSE17186_BLOOD_VS_CORD_BLOOD_CD21LOW_TRANSITIONAL_BCELL_DN,1735.0243696021535,1656.726627426352,1548.9881847176675,1621.2342423260707,1663.094352662677,1525.3583940370554,1623.4218000242254,1576.8184196811771,1598.1963789510783,1762.3196964906338,1922.421580308268,1887.2036684227505,1859.3113807740592,1907.416752529699,1779.1908255444187,1907.687896342375,1850.0089976943545,1896.2310148506722,1863.5005410944477,1904.1798020450888,1731.3297245765789,1799.89475243555,1576.969543768947,1976.6072464043746,1493.7630950546436,1848.3185873158445,1888.054480457151,1541.7750285177135,1956.682748562298,1453.6552697379157,1881.7746378355332,1762.6059043400019,1883.4697799259475,1564.8478655003073,1591.7837209415902,1678.7192438127631,2003.0642725002972,1806.5363686855708,1901.5932813573481,1830.072443549282,1620.3864451146746,1590.0317789633673
GSE17186_BLOOD_VS_CORD_BLOOD_CD21LOW_TRANSITIONAL_BCELL_UP,1453.7378862442001,1640.2765599355498,1580.2669642667133,1663.4360886064078,1502.293532669988,1597.6523374746093,1627.174407849251,1545.2080277818695,1579.8591534256402,1219.3663824163696,1321.109295707808,1413.1564352773812,1264.2685236270454,1411.5088209707856,1274.866449480016,1480.8525759268268,1335.5004028384583,1310.6958206905647,1364.3274782043818,1281.6835025248001,1493.948206555091,1484.2555667003935,1539.9787713526184,1386.1069153984909,1551.510293225103,1729.1346110311924,1604.809516315714,1521.300938305918,1401.9349750207066,1682.9467862025995,1739.6812513391333,1602.1477440364706,1454.5724589007568,1607.4236480344289,1658.6682801532088,1580.526068283899,1384.7669062524128,1581.1394460024003,1671.482482995567,1671.4205508729137,1511.2124528578734,1688.0464029938803
GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_DN,1722.2199196307483,1751.0746920900028,1559.2956766281259,1858.9719474351896,1641.8428001251395,1635.9456491561223,1696.2992514131747,1737.443726099491,1696.1824649934488,1685.4461825328308,1537.3175379032027,1633.1750046256793,1462.180447477297,1647.4907482789322,1526.3081848105194,1672.24659189283,1489.121193482515,1498.827721851535,1534.9313764855842,1507.1869764234116,1681.335518958782,1707.033413071702,1752.305262664062,1716.7743383399356,1730.3209029191967,1873.2938712125779,1980.5800299021557,1793.8649140854022,1736.9245512192047,1808.7797667060104,1830.416343044526,1856.150036119374,1735.8059238218575,1674.636473704264,1920.4975807159099,1852.5397759143716,1698.3920846252486,1814.790640624331,1947.5696691643197,1940.425406017126,1869.339526259857,1805.8859578350548
GSE17186_BLOOD_VS_CORD_BLOOD_NAIVE_BCELL_UP,2490.660224991513,2493.221284140037,2256.6101515577257,2417.6197019855435,2463.340228499692,2259.3002567400836,2431.3085224876604,2397.112912726101,2359.0643540220644,2532.7416044608535,2560.195313870101,2642.4689760511965,2515.911345912653,2650.173026837233,2473.0244228301917,2628.713676961759,2606.91615996766,2629.1902135273494,2576.6114994268855,2567.9792677901587,2279.3841449193897,2368.5584407455217,2164.702233583146,2416.1906535395374,2126.507194514761,2526.5146075681996,2629.908284876744,2134.7501343806935,2417.2612567242722,1984.7621433234435,2652.0953471097455,2453.459975708718,2460.742440900045,2240.244098650045,2112.4441665874483,2254.36571564528,2412.5512604834776,2308.7260225640766,2569.4963686235515,2309.5066510669803,2325.132968559611,2152.501169009279
GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_DN,1480.1625124328539,1455.7889224297314,1517.4742850385956,1506.6518618423697,1395.2525738261575,1463.9210747928555,1520.2098455246905,1528.7754307634395,1527.8323912567103,1363.4106974950291,1406.9067622927023,1473.4599040210742,1420.981969540624,1459.4846019446695,1380.993447710921,1402.5929608686902,1395.3791248128728,1356.8001933962541,1312.8536702612928,1399.075475771947,1485.292986741645,1556.399194846008,1535.928321268646,1493.0493209329397,1457.2902794212305,1782.0277007931263,1607.4339151532595,1512.3952580251516,1490.657679168884,1506.7988925266682,1785.383591391319,1551.2810700082782,1561.4487955118057,1575.4844967158497,1409.1109546392508,1607.8905364688862,1499.8132544429645,1643.2786087005488,1644.588597065781,1601.8288599941698,1571.4089681793957,1570.4727890336244
GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_UP,2057.6088152181756,2078.2206863314723,2011.507622933611,2114.7832920922183,2113.3520258864573,1979.712219977334,2068.1522860157565,2025.274710754794,2013.1153671239072,2094.6010563588516,2095.82160015149,2054.0360139477043,2129.0260894208686,2178.2435687156412,2049.8160880235428,2086.411955563989,2151.904015959085,2033.3550797480402,2022.7997651175428,2098.4864296879723,1760.2332737808565,1757.1700319228212,1793.1269856940626,1937.349133473931,1794.5806281333798,1836.580312504303,1951.4032077781922,1833.440978075033,1916.5455358854897,1832.61906062265,1976.8041005018977,1840.9158161938458,1841.8885359018805,1788.2945783685727,1763.4867415326062,1727.8799918078466,1895.4129099537058,1841.3946655020081,1914.426939751771,1879.771920065492,1849.3328092117827,1759.079360649448
GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_DN,1355.129957094805,1249.2927764736814,1037.791382317042,1278.7557613822037,1243.776914175828,1139.5946848084204,1229.4817539575706,1268.0371704567197,1198.6954450343846,1409.0398830956747,2034.1797425500672,1814.4074578951731,1793.2557345069972,1485.313177676112,1675.0975632636337,1658.5263326782597,1760.7153350737544,1932.7183987942908,1940.5111611087295,1832.7997195194203,1588.5840863310423,1703.2234163546009,1070.1063464087301,2018.2887487065327,1023.2924756245093,1422.020697167166,1546.4642755696332,1005.7669538444261,1979.9150503933288,882.8556156401437,1495.1932939349254,1375.357025505,1932.8217539274665,1160.873060537685,1222.0070740591782,1299.3161385014746,2008.046046271249,1384.1206306754957,1561.245696229732,1357.8418305784899,1269.3212576378091,1387.8828932107863
