Term,GSM175766,GSM175767,GSM175768,GSM175769,GSM175770,GSM175771,GSM175772,GSM175773,GSM175774,GSM175775,GSM175776,GSM175777,GSM175778,GSM175779,GSM175780,GSM175781,GSM175782,GSM175783,GSM175784,GSM175785,GSM629719,GSM629720,GSM629721,GSM629722,GSM629723,GSM629724,GSM629725,GSM629726,GSM629727,GSM629728,GSM629729,GSM629730,GSM629731,GSM629732,GSM629733,GSM629734,GSM629735,GSM629736,GSM629737,GSM629738,GSM629739,GSM629740
DESCARTES_FETAL_SPLEEN_VASCULAR_ENDOTHELIAL_CELLS,-168.3345724764713,-1296.263449333137,-718.0567820988599,-665.6305948685394,-1124.067615875525,-1040.2222262675314,-826.0896809406495,-888.9139473377008,-546.1572630236033,-1566.240366267598,-1702.2342997120713,-1513.2006897647625,-1835.7790950476456,-1195.5104981466175,-1307.550344256697,-1374.5524153987908,-1656.453904526711,-2004.1614976296505,-1568.7718585986322,-1510.6862765201422,-1208.8421533328064,-1663.999889417284,-1399.2731379707066,-643.7582575892247,-2415.4305909259847,-1386.0889489656993,-439.2160362733921,-1850.6525138515708,-563.4271414144896,-1057.4507387386702,-1549.6759152825043,-628.7276577202101,-1373.2402030029334,-109.42968269083667,-828.0160341432465,-1771.9513654224174,-602.3219011979645,-1705.5333493759508,-1287.1587433116156,-1500.7093503190727,-2268.655829068727,-853.571761859911
DESCARTES_FETAL_STOMACH_CILIATED_EPITHELIAL_CELLS,-2067.479263585912,-2219.263402886937,-2436.6016906443256,-2573.8867802902914,-2384.2489498847744,-2344.4479903127067,-2001.3543224416362,-2395.1583167754898,-2461.131041200906,-2430.8941695293797,-1085.4935645284131,-131.91638222610982,-1552.4964026232474,-1705.95257650451,-1228.2641129476679,-2204.4986819729347,-1119.8554936323208,-1685.571794509845,-1885.8370491275173,-968.670455744099,-1909.21733219027,-2000.0577029907017,-1433.792637781511,-1251.2038064766239,-1962.306246529215,689.4779328289878,-2101.9619346208056,-2240.6244811168535,-1546.5533045836883,-2112.2460104404645,-319.8245074218403,-2509.062971625468,-1900.2768575087284,-2366.767607668662,-2628.527962789555,-2384.00347816304,-1052.816427174309,-1955.7435228862114,-2297.3048828645233,-1025.7982580770204,-2145.5079623879346,-2643.381108447177
DESCARTES_FETAL_STOMACH_ENS_GLIA,-28.9501983100472,-817.6333476566942,-479.60920936755974,-285.5804367366709,-680.9115584258352,-655.4766034684399,-826.7820358057834,-478.0795064222566,-630.5491833717815,-1204.0302238737913,-1845.0614646332833,-1482.7119975723472,-1444.1796547277954,-537.949114036539,-1267.4573770009265,-1102.501486136768,-1891.1723979889093,-1369.845111299208,-1380.8366307746464,-1425.58744816958,-1643.6901632879199,-1439.4976575202309,-218.49845959061713,-1648.5605861590548,-58.032765783308605,-1675.7467561807007,-993.3368667966961,-391.0352949603521,-1564.9109267151362,-180.24203714489613,-1637.9217318159135,-45.34873134393547,-1504.3599486909852,-125.28508682241863,-782.4693982637091,-1266.769745335403,-1731.1704796172453,-1293.782770059508,-1333.248294346863,-913.5652179360413,-1002.6460026558952,-557.6834166204098
DESCARTES_FETAL_STOMACH_ENS_NEURONS,-2186.836533827126,-2306.9934247307338,-2469.290400791475,-2447.664391929282,-2233.38268910048,-2334.346651612035,-2466.8650465839337,-2440.090994016591,-2429.8873623373647,-2521.6543277645187,-2066.2138175027458,-1881.5634562572186,-2044.5299675754504,-2444.7761290936196,-1758.2104033601072,-1926.3031029636531,-1944.4827298284772,-1762.149194820463,-2024.5461566680124,-1719.441980020627,-1989.0850984066128,-1950.1498428327832,-1794.9713353021352,-2296.9812700519933,-1730.3404431160143,-2952.400756069892,-2695.1253910493433,-1829.575545479045,-2291.336664431996,-2066.4040414961573,-2945.9225308147593,-2118.4837499159694,-2321.3714441561497,-2066.3588334394735,-2363.8506342972614,-1764.0014188406549,-2319.2795486244404,-2311.605707154931,-2326.547749475407,-2013.5847793430175,-1697.1283919406696,-1900.1665969497008
DESCARTES_FETAL_STOMACH_ERYTHROBLASTS,-556.9068399850539,-685.2713383749679,-598.9021328393055,-444.8509279022237,-809.683062767057,-627.1714082486797,-710.6947401072402,-650.2857392508568,-868.0531946188357,-221.41507814177749,-90.38650694448734,-402.00317642244954,-155.29696057682668,-714.153260192752,-451.818854062888,-563.3223842296502,-402.8673470363656,47.72372438313596,-58.01595654815628,7.792596043586855,-302.1817946066194,-260.4075946980165,-620.386782484351,12.011397644555473,-252.15865023723018,-799.7530269618001,-717.9558424543666,-493.67941526131017,-166.56560570425063,-340.9047572957188,-712.9445985042421,-353.72793145503965,-208.69651094978235,-705.2343029115646,-17.80523159693439,-626.4695571615439,-96.62815339645294,-540.0380510810746,-713.1686632802948,-649.0222244333918,-493.6415926694499,-632.1446569735517
DESCARTES_FETAL_STOMACH_LYMPHOID_CELLS,-838.9021886217797,-796.1467270349794,-2336.8278064541755,600.9406761234868,103.54463772333202,-1388.5283924068817,-768.7507655368036,-1000.9267059233889,-1374.226275303262,-2172.59284465737,-1524.9371218334745,-1570.2651137413022,-1686.7706005834189,-704.9960947058362,-1475.1263399133222,-624.8047700063771,-1226.3003059062166,-916.6631678257345,-593.7184184052467,-1753.7824501505456,-1977.1720779692087,-1455.435184869776,-691.0552145776555,-2311.7615182829113,219.29329124040214,-384.3789950477849,-716.7954856158676,-291.03342746186627,-2028.4121131063666,-895.444450007366,-426.37278780980614,-414.32841182914126,-1610.0598646626204,-1957.6165242487332,-1973.9350784934832,-448.49942181187635,-2454.2022401705017,-776.5839497613833,-291.3962278510762,-956.8442831005641,259.9876035138077,-1574.3258925236414
DESCARTES_FETAL_STOMACH_MESOTHELIAL_CELLS,982.1190251402004,1295.448527977107,628.4609898864501,403.01889139992454,1747.015340256904,347.919485447821,1028.2085519657394,416.7094791604786,556.2828056553944,334.0987203597406,-724.8041736422138,-753.7173796276111,-649.9291924622439,571.9326091407056,-1023.7421103940251,-87.12923963362937,-735.2234427174953,-579.3315532532197,-604.0186337760979,-1117.9105360207614,-712.0000824142862,-250.40513388477393,882.855942646609,-953.8166363906785,1069.3697908458716,-926.5322483263108,378.86926523522743,1028.5568657863887,-669.9523581123676,1470.070292694607,-635.1792970552751,1234.3793140036823,-267.03039398073815,819.0979966673885,459.974062503009,111.6412464419036,-991.0787293983503,-265.12460240041764,411.1492777737458,-178.53244173026178,696.1285107398335,1555.6018846740471
DESCARTES_FETAL_STOMACH_MUC13_DMBT1_POSITIVE_CELLS,-2497.8018044573737,-2610.6556637084223,-2562.9661467498554,-2652.0770111542597,-2448.4177641662127,-2568.5670812015296,-2363.9970041325378,-2630.171741263739,-2552.9287160728472,-2335.2977000816754,-2435.4749568368634,-2277.484946795371,-1897.7911620855784,-1495.6742899706633,-2040.5444011638529,-2252.233384199524,-2272.2775634700392,-2033.2144713623657,-2451.0350143997966,-2076.389137713766,-2392.5180042548864,-2542.2026267120036,-2409.0954681938583,-2519.022332602475,-1700.6957257699996,-2135.514509126706,-1909.7696406970035,-2273.3016430991756,-2465.134244198767,-2333.848445962084,-2027.102571169321,-2482.510476306633,-2639.0932841095337,-2761.0588213409574,-2219.0160103497656,-2417.16724353084,-2447.8965819677214,-2261.5139124819552,-1916.7946305585447,-1961.035040789855,-1990.5289333906376,-2600.9204596291966
DESCARTES_FETAL_STOMACH_MYELOID_CELLS,1883.016440300211,1905.9640851534496,-337.10348679756135,2872.8954548367483,2221.5336464629845,1535.2249636172792,2273.826170796793,1977.8774618463212,707.6178511312555,156.87140192673087,175.16540866836385,470.47993314450014,-70.1228284236413,731.4662642619487,13.99749361956492,224.92724192630703,161.1547340047182,229.41498356555985,452.21091994043763,-92.22626317929644,-274.66284775469103,344.03536342629377,1694.7660083213723,-663.1670008949004,2099.7085738979504,1448.305137195256,403.0303610847277,1511.0005162937841,-513.5501374817013,1423.514357217232,2415.1354634987683,2072.5016009833153,347.0713284610374,307.6075123488781,858.7049027885214,1156.6382797384567,-691.9761684444529,663.8421864365291,1162.0709407445393,374.74444796895114,2472.89266454478,1142.7224013859504
DESCARTES_FETAL_STOMACH_NEUROENDOCRINE_CELLS,-2632.8036124849696,-2563.679386675739,-2713.5291136884207,-2714.6242920755276,-2514.252599818513,-2582.255636102702,-2733.4363244215233,-2465.1568306713143,-2496.0149365964644,-2874.9369823585093,-3213.2554638521756,-3019.083589056496,-3073.9664024669446,-2339.7661615376355,-2846.461793488353,-2459.814353288498,-3195.3899214800804,-2807.9637616004766,-3083.0010706655,-3001.6689515366897,-3143.2472326450397,-3024.824974890967,-2357.78379451457,-3039.997595213247,-2208.44740845287,-3250.109714497821,-2225.2096391788564,-2177.294073042458,-3015.469737249329,-2423.4945093797787,-3331.07708384517,-2684.889315861391,-2976.6123675809004,-2496.6702358618686,-2632.60962623654,-2749.1636700603235,-3036.177797778036,-2372.108873708992,-2604.51555117106,-2519.409070962811,-2280.668097673687,-2421.8362126513066
