,T cells CD8,T cells CD4,T cells regulatory,B cells,Plasma cells,Macrophages M1,Macrophages M2,Monocytes,NK cells,Dendritic cells,Neutrophils,Mast cells
GSM629738,0.07818003598455127,0.09833393267108562,0.07616246461436951,0.07686483130174165,0.08839210793438178,0.08730094649075369,0.09067434590596402,0.0718148648103302,0.08550982530436123,0.08455041179006263,0.09768393588355893,0.06453229730883955
GSM629739,0.06676812723816353,0.08732710820772667,0.07549955610965851,0.08274661203630693,0.08659770939942765,0.08814629076449028,0.08253378110152931,0.07637061141387604,0.07813832098360098,0.09640316956560288,0.09773812350451476,0.0817305896751025
GSM629740,0.0791854531357432,0.08848966090895852,0.09049304178717464,0.07926919042723427,0.08739396855020086,0.08527191159507423,0.08084532467025216,0.07724342565656092,0.06246810008758164,0.0881097592580903,0.09357617206667905,0.08765399185644995
GSM175766,0.07537522068176508,0.09163379658171687,0.08002865087834281,0.07243324732142292,0.10032430192732243,0.08553875071911601,0.08531241008011616,0.07333580343455584,0.0788817905047659,0.09133194050864299,0.08811699670153539,0.07768709066069764
GSM175767,0.06888358715752955,0.09569490915694798,0.07635606178133625,0.07391518265137934,0.0986519019908303,0.08461156567313761,0.08133551970354927,0.07867766363914308,0.08101584593848644,0.09413225942367148,0.0856351354267637,0.08109036745722484
GSM175768,0.07204503654076441,0.1006467729942739,0.08202575831722392,0.07324215201334794,0.10171914390967574,0.0835957100953953,0.0861360076380744,0.07584129399422634,0.0730127428466033,0.0928510697229139,0.08147275710503284,0.0774115548224679
GSM175769,0.06393832183245439,0.09456407998545738,0.0783347478312055,0.06781089864965519,0.09933702374812294,0.08633873476459238,0.08890663239568763,0.07837896962906178,0.07994363010066136,0.09570683258790424,0.08114769944523138,0.08559242902996596
GSM175770,0.06719840133642303,0.09310400143197478,0.08247858467144265,0.07394380729524774,0.09988403687737643,0.0882795836474253,0.08767430761969247,0.07448080201589148,0.07528080526091153,0.09138839954665351,0.08971848044913834,0.07656878984782271
GSM175771,0.0705327672211956,0.09652069105255733,0.07873454128386932,0.07068674943550679,0.09874537047099181,0.08689784038394391,0.08771021149739298,0.07765422744753804,0.08078180350216303,0.08859236026081901,0.08164067399995764,0.08150276344406458
GSM175772,0.07072479208285479,0.09559829561711596,0.07459385132750343,0.07737155932850305,0.09795819086922183,0.08997711078705528,0.07997864489814158,0.07110619194935806,0.07729281713379836,0.09162650324175153,0.0950618977358275,0.0787101450288685
GSM175773,0.07039176042666206,0.09320555904600944,0.08990411254893808,0.07392755955674703,0.09275716899822413,0.08363807872516033,0.085991870940649,0.07452194109546212,0.07689525339129023,0.08650162070483466,0.08515679662355784,0.08710827794246526
GSM175774,0.06829414506390268,0.09443986266614693,0.08256295298320394,0.07293153604956057,0.09970400316700195,0.08560100692258299,0.0885882962218093,0.0768014607266271,0.07685273146870535,0.09040022348551949,0.08340139717821175,0.08042238406672812
GSM175775,0.078116168394107,0.0869899531091594,0.09617889853685263,0.07818571699331235,0.08955680589689087,0.08308974646277255,0.08142368848826578,0.07438422932787635,0.06664298572857424,0.09267693339500056,0.08287700098017912,0.0898778726870092
GSM175776,0.10142848469334233,0.0814956860627028,0.0799925405075486,0.08358684379757046,0.08258692755005863,0.08964474224361257,0.08260982857968026,0.07436417932303592,0.08064821261644559,0.08637655966728283,0.09135857998220401,0.06590741497651592
GSM175777,0.09716135303987354,0.08913451477935118,0.07362176262740945,0.08485278125672366,0.09059328322893465,0.08387935894996085,0.07988632608593887,0.07331825946434035,0.08492973597207432,0.0941302980932263,0.08367302155986134,0.06481930494230545
GSM175778,0.09234274533246438,0.08692436328240091,0.0800371865134188,0.08076063205721089,0.09077252894347082,0.09092692854622364,0.07799196005988161,0.07743787970193375,0.08985263154904427,0.08903647625908083,0.08396684312549506,0.05994982462937505
GSM175779,0.07098795480232294,0.09819546810404027,0.07423690363113031,0.08935912851936362,0.07743080119608976,0.09165745218930893,0.0862208867347135,0.07473394236248808,0.08342437826281551,0.08463809012643919,0.11161820033644475,0.05749679373484304
GSM175780,0.09135790789911422,0.0934724434925067,0.07728857339321028,0.08116745671440898,0.0874900570051195,0.0883911739675403,0.08454794601415139,0.07323710605845302,0.09344425377788644,0.08325542285776087,0.08204561004867197,0.06430204877117657
GSM175781,0.08962293635546312,0.09003799470171518,0.07136526559655855,0.08703421037965531,0.09007644290982017,0.09095079821035659,0.08386643635680614,0.06970151258498346,0.07326887325506237,0.09267151992753496,0.09321570955609787,0.06818830016594642
GSM175782,0.09684006851545586,0.08545479515531257,0.07541498576558393,0.0771503160216612,0.08803813045392453,0.08464754417682152,0.07915430870605958,0.07582970894502941,0.08735054533738512,0.08982368731977258,0.08964956325672316,0.07064634634627046
GSM175783,0.09772636179437612,0.0855084790320277,0.07796153684939788,0.0814042049782016,0.08527652491617402,0.08748111767219008,0.08310924589084702,0.07376881050983614,0.07883096162727461,0.08724274172670157,0.09513929668634866,0.06655071831662435
GSM175784,0.09721937155344054,0.08941082700140986,0.07323394584399558,0.0824096321580497,0.08730175293018623,0.0850474110641432,0.08488890581594709,0.07299904903078985,0.0844835617842542,0.08677934746785243,0.09189827530622185,0.06432792004370934
GSM175785,0.09804850128601929,0.0860536982252607,0.07840110842150169,0.08423247225452361,0.08345087023418969,0.08538111936728726,0.08074392638721244,0.07621522551903395,0.0907943792292755,0.08451714606251945,0.08376334923385013,0.06839820377932619
