Dataset,Signature,Clean_Name,Kruskal_Wallis_Stat,Omnibus_p_value,Mean_Ectopic,Mean_Eutopic,Mean_Normal,p_ectopic_vs_eutopic,p_ectopic_vs_normal,p_eutopic_vs_normal,Mean_Diseased,p_diseased_vs_normal,Omnibus_FDR
GSE25628,GSE27786_BCELL_VS_NKCELL_DN,Gse27786 Bcell Vs Nkcell Dn,1.4535573122529541,0.48346388774844296,1995.981940440011,1967.8166161427334,1935.0585508388651,0.3822843822843822,0.4135864135864136,0.4908424908424909,,,0.5505928146588158
GSE25628,GSE27786_BCELL_VS_NKCELL_UP,Gse27786 Bcell Vs Nkcell Up,5.594861660079047,0.060966494875882994,1592.2125987201298,1734.1159774945786,1900.4973775288852,0.19487179487179485,0.042624042624042624,0.14185814185814188,,,0.1093651209592788
GSE25628,GSE27786_BCELL_VS_NKTCELL_DN,Gse27786 Bcell Vs Nktcell Dn,12.616600790513829,0.001821125804451551,2127.407726886962,2145.9914398166206,1940.3897804205724,0.7209013209013208,0.000666000666000666,0.000666000666000666,,,0.02481665925737804
GSE25628,GSE27786_BCELL_VS_NKTCELL_UP,Gse27786 Bcell Vs Nktcell Up,5.473320158102766,0.06478636729213415,1370.8929898588103,1403.593794311122,1503.204939648611,0.6453768453768453,0.029304029304029304,0.08125208125208126,,,0.11353927390189923
GSE25628,GSE27786_CD4_TCELL_VS_ERYTHTROBLAST_DN,Gse27786 Cd4 Tcell Vs Erythtroblast Dn,7.520750988142282,0.02327499910968158,836.3071510740422,942.6295171367667,759.495345977431,0.037917637917637914,0.2823842823842824,0.01998001998001998,,,0.05825563554373815
GSE25628,GSE27786_CD4_TCELL_VS_ERYTHTROBLAST_UP,Gse27786 Cd4 Tcell Vs Erythtroblast Up,13.640316205533594,0.001091548331825002,1736.5229632819319,1849.800958654043,2105.3336135536815,0.06495726495726495,0.000666000666000666,0.002664002664002664,,,0.02481665925737804
GSE25628,GSE27786_CD4_TCELL_VS_MONO_MAC_DN,Gse27786 Cd4 Tcell Vs Mono Mac Dn,1.8764822134387344,0.3913155126315394,1396.5714130898746,1431.0712113845561,1467.343825603237,0.4418026418026417,0.22843822843822847,0.5727605727605728,,,0.4629648318457649
GSE25628,GSE27786_CD4_TCELL_VS_MONO_MAC_UP,Gse27786 Cd4 Tcell Vs Mono Mac Up,7.705533596837952,0.021220941072213693,1749.17564142017,1885.4085789989422,2036.9607710274634,0.10489510489510488,0.012654012654012654,0.1078921078921079,,,0.05484797077126043
GSE25628,GSE27786_CD4_TCELL_VS_NEUTROPHIL_DN,Gse27786 Cd4 Tcell Vs Neutrophil Dn,0.7272727272727195,0.6951439283988814,1310.8940245928695,1271.0264354865483,1337.3811736307368,0.5737373737373737,0.8518148518148518,0.4908424908424909,,,0.7436849405268665
GSE25628,GSE27786_CD4_TCELL_VS_NEUTROPHIL_UP,Gse27786 Cd4 Tcell Vs Neutrophil Up,5.706521739130423,0.057656005292520414,1557.719702480536,1725.2481430260855,1741.795360997162,0.037917637917637914,0.05927405927405928,1.0,,,0.10481345439744756
