"probe_id","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val"
"211892_s_at","PTGIS",0.954928798042863,5.04082287916527,6.37795547714258,2.02580771901682e-06,2.39283767532013e-05
"55616_at","PGAP3",-0.404904393046527,7.18487517637344,-6.37559542941698,2.03678074336628e-06,2.40452382723745e-05
"201555_at","MCM3",-0.8135381138426,8.17122536329687,-6.37492652392629,2.03990186186242e-06,2.40693293308841e-05
"214212_x_at","FERMT2",0.846847817871331,7.82446559139588,6.37431409423041,2.04276375505171e-06,2.40903378355145e-05
"204058_at","ME1",1.05878025647788,5.50421273498124,6.37277467004704,2.04997566292531e-06,2.41607256871916e-05
"206133_at","XAF1",1.35287904826739,8.60354952297046,6.3725774503379,2.05090148020287e-06,2.41607256871916e-05
"202508_s_at","SNAP25",1.2230602301959,5.76887800529492,6.37228133235418,2.05229236351624e-06,2.41643324429447e-05
"201209_at","HDAC1",-0.359321296088174,8.83375294041281,-6.37053122787782,2.06053243637701e-06,2.42485372874647e-05
"219513_s_at","SH2D3A",-0.734352148848595,4.56366948104267,-6.36933769066962,2.06617141328268e-06,2.43020594370107e-05
"219563_at","SYNE3",1.21187290805867,6.24009866716284,6.36625815143728,2.08079402088144e-06,2.44611337219925e-05
"211689_s_at","TMPRSS2",-0.804832769469408,4.68547661630903,-6.36500124908136,2.08679256968237e-06,2.45132124770027e-05
"214151_s_at","CCPG1",0.667045841006544,6.83692597369893,6.36486897357264,2.08742488076824e-06,2.45132124770027e-05
"213647_at","DNA2",-0.953130151883709,5.71914472253688,-6.36441200581488,2.08961081336421e-06,2.45259536824629e-05
"205024_s_at","RAD51",-1.22774251942271,5.37290455480565,-6.36299875253687,2.09638602814145e-06,2.45925179299142e-05
"218719_s_at","GINS3",-0.843299266407651,5.97452094055565,-6.36137592288848,2.10419369162323e-06,2.46653725397893e-05
"202409_at","IGF2",-1.56953555228751,9.42455877408876,-6.36124789119683,2.10481093496159e-06,2.46653725397893e-05
"204126_s_at","CDC45",-0.872605716226408,6.01842603034787,-6.3594706939162,2.11339799555352e-06,2.47529795725267e-05
"44673_at","SIGLEC1",0.566113291754292,6.45263280845937,6.35823690979448,2.11938046356058e-06,2.48100045122118e-05
"221159_at","221159_at",1.2312891656337,5.46526297362243,6.35520928634921,2.13413457081945e-06,2.4969598652387e-05
"205930_at","GTF2E1",-0.364600897291138,6.91378040042385,-6.35463230361063,2.13695820184146e-06,2.49788717000889e-05
"221591_s_at","PIMREG",-0.998073023513586,5.96468075838737,-6.35458911684173,2.13716970240021e-06,2.49788717000889e-05
"219471_at","RUBCNL",-0.95730422268988,6.75030898772973,-6.35431637462921,2.13850591021592e-06,2.49813823607132e-05
"202905_x_at","NBN",0.593162219334001,7.78667660172122,6.35038175920926,2.15787760053975e-06,2.51944650457149e-05
"44790_s_at","RUBCNL",-1.35900720480747,5.90560803619992,-6.3496773462398,2.16136460962381e-06,2.52108873653326e-05
"205812_s_at","SULT1C4",-0.783836788212239,10.0898229565475,-6.3496404215655,2.16154755432892e-06,2.52108873653326e-05
"210062_s_at","ZNF589",-0.732494187848962,5.94400979765472,-6.34764666113563,2.17144927330429e-06,2.5302942860487e-05
"220327_at","VGLL3",1.4701336408545,6.06438215071516,6.34759389984933,2.17171193379948e-06,2.5302942860487e-05
