"probe_id","logFC","AveExpr","t","P.Value","adj.P.Val"
"218625_at",1.77105144190249,6.20600699188962,7.1695052457755,9.21766641680022e-09,1.42598579699346e-06
"202652_at",0.791991032759226,6.36883056510767,7.16528759088669,9.34483280803044e-09,1.43568855492755e-06
"202222_s_at",3.00417190643631,7.0675704521032,7.16308685035321,9.41188661539294e-09,1.43608628856924e-06
"214734_at",-1.7661682921665,6.06832958871334,-7.15893756448074,9.53962983557649e-09,1.44355981037358e-06
"219778_at",2.43259217722074,7.35737021152572,7.1573018024572,9.59046783387755e-09,1.44355981037358e-06
"211535_s_at",1.09605924974701,8.985903308086,7.1459575147525,9.95061903471872e-09,1.48771771970758e-06
"203698_s_at",2.42491561262222,7.08817805582371,7.13897738025987,1.017895079774e-08,1.51170991280835e-06
"203086_at",-0.920982835972783,5.12874173356803,-7.12675323763102,1.05915967327438e-08,1.56257616169095e-06
"204682_at",2.31115691648813,8.7147712546509,7.12307806469013,1.07189183510764e-08,1.56497435499614e-06
"212549_at",1.01207421748325,8.45324050170791,7.12195223331669,1.07582285506146e-08,1.56497435499614e-06
"214027_x_at",2.10848446172355,7.75784306281107,7.12023112155758,1.08186044202274e-08,1.56497435499614e-06
"221737_at",0.751853116829493,6.80314989526431,7.10439089126421,1.13905283202465e-08,1.63566164427971e-06
"212623_at",-1.16487570690541,7.45213468606083,-7.1026795480765,1.14541103608042e-08,1.63566164427971e-06
"210879_s_at",0.889704573875448,7.53701638866434,7.09569455639445,1.17173496529364e-08,1.66259489311124e-06
"211340_s_at",1.65550310051346,8.20827679843296,7.08153082383165,1.22699604248027e-08,1.7299867619198e-06
"206580_s_at",1.11520293924987,9.25621269045672,7.0784555603983,1.239336679711e-08,1.73639642854855e-06
"205475_at",1.99697686803613,5.36216274437033,7.06035947620201,1.31452477992465e-08,1.82632177339879e-06
"204513_s_at",1.28816150029701,5.54245038232742,7.05809237616268,1.32426227855197e-08,1.82632177339879e-06
"34858_at",0.677108904205083,7.81961851529975,7.05720005791693,1.32811476989991e-08,1.82632177339879e-06
"204082_at",1.59720700878752,8.00296889669561,7.03780332904877,1.41470084570003e-08,1.93345341961102e-06
"204482_at",1.81110170554642,7.6250953273178,7.03411920322013,1.43177719780376e-08,1.944859794846e-06
"202274_at",4.14475974083837,8.1593023582629,7.02903783190875,1.45567056437382e-08,1.96533170682156e-06
"204736_s_at",1.09302162863591,5.76160246529884,7.00093255590335,1.59525476966797e-08,2.14081268095743e-06
"204342_at",-1.06502310194976,8.20560105932088,-6.99696798152151,1.61599949030661e-08,2.14832043556922e-06
"218417_s_at",1.04759645773729,6.97337952067826,6.99618344796095,1.62013661254042e-08,2.14832043556922e-06
"212071_s_at",0.951892792459107,10.3352283201653,6.99241173142647,1.64017534096295e-08,2.1617201807619e-06
"205611_at",1.03953646057154,6.783301741268,6.99064458207684,1.64964955213684e-08,2.1617201807619e-06
"205582_s_at",1.65140880748996,7.07178723716703,6.97183048746451,1.7539932184113e-08,2.28070559990265e-06
"203498_at",2.07662943110536,6.63314750327948,6.97062069867188,1.7609254530828e-08,2.28070559990265e-06
"220037_s_at",2.05976624385798,4.54409554629327,6.96802425445961,1.77589651341017e-08,2.28680038319297e-06
"212089_at",1.04367631388382,8.26741864230994,6.96453899913828,1.79619378174158e-08,2.29964418826765e-06
"209614_at",0.966951379943372,5.05325278917696,6.95962018689513,1.82523715513066e-08,2.32347474884832e-06
"208609_s_at",1.82778847652282,8.52239097011811,6.95369530187652,1.86084839842558e-08,2.35534771430264e-06
"202291_s_at",2.3632337405984,11.2540057338022,6.9506532188235,1.87940318896293e-08,2.3653934938151e-06
"210265_x_at",-0.905559451167532,5.8661169005259,-6.9486270636598,1.89186452129068e-08,2.36770033375239e-06
"201430_s_at",2.38490003325282,6.61722371804873,6.93421195264644,1.98295098558545e-08,2.46783235228419e-06
"202075_s_at",1.54167512930383,9.01593826093647,6.93139117596524,2.00128411975077e-08,2.47681146309377e-06
"219213_at",1.70764251476852,8.05777054177475,6.92946328476132,2.01391200844728e-08,2.47866949238564e-06
"203276_at",-2.74417547713884,6.3520517700386,-6.92774299253629,2.02524769579888e-08,2.47892543512701e-06
"205265_s_at",1.06630608944007,6.60942018776331,6.9171696322401,2.09634179297598e-08,2.55192383181016e-06
"208030_s_at",0.682471186199555,9.10130899626565,6.91108139188506,2.13841081824233e-08,2.5889879238035e-06
