"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val"
"202202_s_at",1.44786715075856,8.06600972953199,5.74191754720668,9.89191304708948e-07,4.32931526424386e-05
"212730_at",1.98514745056065,6.50410712397606,5.73459593411651,1.01322205904037e-06,4.4182677998109e-05
"213246_at",-1.16106254482326,7.66544658733201,-5.73297600088796,1.01861707216517e-06,4.42475509533616e-05
"217901_at",-1.52284522176613,8.27223802550567,-5.73066137340755,1.02637540931051e-06,4.44054174495536e-05
"221667_s_at",1.53151929490904,7.88635772388823,5.73060500956336,1.02656506650447e-06,4.44054174495536e-05
"213256_at",1.36226279146434,5.72712503865125,5.72801742573857,1.03530967239981e-06,4.469688676754e-05
"219315_s_at",1.15994763956983,8.1724797525138,5.72251395650018,1.05415601042851e-06,4.53348135990656e-05
"205083_at",3.12885975433867,6.53929167025226,5.71670160241167,1.07443144866169e-06,4.60290565035318e-05
"211031_s_at",1.12124775466965,7.52254025637264,5.71099405368388,1.09471941392292e-06,4.67355859059459e-05
"221802_s_at",-1.38345957219186,7.53952881099432,-5.70462169710909,1.11782183836087e-06,4.73779692952533e-05
"205816_at",-1.7062164829649,4.81389186973959,-5.70428179479975,1.11906768252956e-06,4.73779692952533e-05
"213802_at",-1.81023079587312,6.52330635927018,-5.70416243244077,1.11950550964036e-06,4.73779692952533e-05
"209284_s_at",-1.28295690493272,7.56282825738574,-5.70378723115566,1.12088287861138e-06,4.73779692952533e-05
"209264_s_at",1.28816790718149,7.43047750445629,5.70023344195751,1.1340129180937e-06,4.7755020371216e-05
"222281_s_at",-3.10814161116295,9.4309039779516,-5.69177981162755,1.1658653429401e-06,4.90037400842953e-05
"202388_at",2.20059021810212,8.72491444247558,5.68986175135241,1.17321558207406e-06,4.92198183085946e-05
"202022_at",1.05843992587188,7.07091461190865,5.68763051162356,1.1818240745335e-06,4.94877723841781e-05
"218816_at",-1.64975607636946,7.13994179019001,-5.68407588244177,1.19566859677507e-06,4.98799800193975e-05
"221553_at",-1.10018207718368,7.71895248182504,-5.68161538019535,1.20534624335367e-06,5.01897163797939e-05
"203256_at",2.4838602995009,7.93733787008309,5.67978454851175,1.21259787046711e-06,5.03974678365594e-05
"210051_at",1.11421087793979,6.84352073985167,5.67852547632449,1.21761005765708e-06,5.05115442354315e-05
"210191_s_at",-1.06144717007418,6.12983813515965,-5.67270099631458,1.24106639182246e-06,5.11865051377291e-05
"204151_x_at",1.5491132480901,7.90850662215699,5.67220825321043,1.24307129683133e-06,5.11865051377291e-05
"206363_at",1.14603676578657,7.66066356556255,5.66416482515367,1.27625886643416e-06,5.23100478015231e-05
"202211_at",-1.11965631053551,8.68814526085845,-5.66389169509755,1.27740117628175e-06,5.23100478015231e-05
"218826_at",-1.08071241906276,7.14742545338718,-5.66222461694784,1.28439549664702e-06,5.24999605115699e-05
"201262_s_at",1.69433488176519,6.86410450290073,5.66135761214023,1.28804812937436e-06,5.25178671417781e-05
"218322_s_at",-2.07484891414807,8.54429351180408,-5.66100217221435,1.28954856248833e-06,5.25178671417781e-05
"218232_at",1.46132555182285,8.09207997598798,5.65777513849303,1.30325087487001e-06,5.29790506194877e-05
