"probe_id","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val"
"207842_s_at","CASC3",0.661859765708328,9.14000806481818,6.78166270599269,8.69004542696629e-07,0.000180923497174325
"219382_at","SERTAD3",1.17229538895833,7.34247910231818,6.77194353017924,8.87954838741812e-07,0.000181592709690932
"216069_at","PRMT2",-1.96914359991667,5.16227681431818,-6.77092157160791,8.89971923808919e-07,0.000181592709690932
"201918_at","SLC25A36",-2.01820008170834,9.09913342145455,-6.76754313987696,8.96673612515263e-07,0.000181592709690932
"37226_at","BNIP1",0.911028333458332,6.19348586118182,6.73864444794371,9.56158146859367e-07,0.000191894910248524
"213015_at","BBX",-2.08653565191667,7.57336416668182,-6.7267485858438,9.81807007770968e-07,0.000195283167072445
"205250_s_at","CEP290",-2.24452359429167,6.98529384913636,-6.7204344426013,9.95706742357637e-07,0.000196295213269921
"203593_at","CD2AP",-2.119137763625,7.47666951922727,-6.70665611408638,1.02674313624842e-06,0.000200638217949176
"213229_at","DICER1",-1.64658691762501,7.86830887586364,-6.69962426319463,1.0429634968988e-06,0.000202035633220997
"210962_s_at","AKAP9",-2.22767932820834,7.60495600559091,-6.69056897654099,1.06423926867907e-06,0.000202572065613719
"202326_at","EHMT2",1.197595787875,8.07968036709091,6.68188945504934,1.08505010293573e-06,0.000202572065613719
"214499_s_at","BCLAF1",-1.772170106625,6.93884473322727,-6.67800087326917,1.09450867976534e-06,0.000202572065613719
"210474_s_at","CDK11A",0.648080422374999,6.51632900495455,6.67616332412316,1.09900771191576e-06,0.000202572065613719
"203380_x_at","SRSF5",-1.68592424845834,9.17226934718182,-6.67428182687247,1.10363400204434e-06,0.000202572065613719
"222371_at","222371_at",-2.100098805125,6.46636343268182,-6.67402903639713,1.10425709222134e-06,0.000202572065613719
"217679_x_at","217679_x_at",-1.28534969766667,8.73187120004545,-6.67195375538223,1.10938600372014e-06,0.000202572065613719
"201082_s_at","DCTN1",1.129006070625,8.42495369481818,6.66792212385192,1.11941984911557e-06,0.00020274240633128
"214723_x_at","ANKRD36",-2.637349270625,5.63668266372727,-6.65922976953666,1.14137109844279e-06,0.0002050509996775
"214295_at","214295_at",-2.53954243058334,6.35021838809091,-6.65319970420083,1.15685805999191e-06,0.000206170616019518
"216745_x_at","216745_x_at",-0.804255210041668,5.88923940236364,-6.62510100160178,1.23191617061445e-06,0.000214322075677486
"207730_x_at","TNFAIP8L1",-1.14534293320834,8.66639369781818,-6.62509740008511,1.23192610461355e-06,0.000214322075677486
"208797_s_at","GOLGA8A",-1.66639238691667,6.7582217545,-6.62177838580188,1.24111588857533e-06,0.000214322075677486
"202116_at","DPF2",1.066422315375,9.13464207927273,6.6191926146819,1.24832413937322e-06,0.000214322075677486
"213937_s_at","FTSJ1",0.906482117583331,7.05415888022727,6.61497271579161,1.26018009884878e-06,0.000214322075677486
"201716_at","SNX1",1.05808388945833,8.92890596063636,6.61492247605065,1.26032194253044e-06,0.000214322075677486
"214709_s_at","KTN1",-2.18889158066667,8.9061344345,-6.60966171062894,1.27526582225104e-06,0.000215220429714292
"215339_at","NKTR",-1.392774198125,2.68754681809091,-6.60541943238202,1.28744880497391e-06,0.000215355515370168
"206059_at","ZNF91",-2.98219810025,6.43263923113636,-6.6026726519778,1.29540059521491e-06,0.000215355515370168
"218525_s_at","HIF1AN",0.949901447624998,7.153043168,6.59754248699951,1.31038727579624e-06,0.000216233313651207
"213977_s_at","CIZ1",1.14730435816666,7.42996795027273,6.59162290480259,1.3279011479571e-06,0.000216739138867718
"210596_at","MAGT1",-1.4678283095,7.21727473309091,-6.58994426607384,1.33291116509752e-06,0.000216739138867718
"214707_x_at","ALMS1",-1.01541613770834,7.55150749859091,-6.58038108235182,1.36182514241858e-06,0.000219836077519267
"221761_at","ADSS2",-1.91749718008334,6.60122309627273,-6.57008857801303,1.39366334674947e-06,0.000222147094182076
"212004_at","SZRD1",0.898125198874996,8.13266803581818,6.56696794405915,1.4034664932348e-06,0.000222147094182076
"220071_x_at","HAUS2",-1.03867727933333,8.96866788963636,-6.56557471976982,1.40786595657e-06,0.000222147094182076
"222029_x_at","PFDN6",-1.69102024604167,7.81419707054545,-6.56244088532805,1.4178135748247e-06,0.000222147094182076
"203456_at","PRAF2",1.52269099929166,8.47481918077273,6.55933366089743,1.42774786287686e-06,0.000222147094182076
"200045_at","ABCF1",0.928823647666665,8.97577667440909,6.55677758981967,1.43597349563312e-06,0.000222147094182076
"212927_at","SMC5",-1.78264573770833,6.0865973905,-6.54016992628473,1.49061458320198e-06,0.000226926291892138
"201828_x_at","RTL8C",1.13397519525,10.8546560541364,6.53908632579053,1.4942529657622e-06,0.000226926291892138
"200997_at","RBM4",0.88364858658333,10.5147014030909,6.5381434438813,1.49742626512296e-06,0.000226926291892138
"215535_s_at","AGPAT1",1.17373647525,9.05658023186364,6.52952580736215,1.52675116234564e-06,0.000229806997591715
"213126_at","MED8",0.792968771499999,6.49041568354545,6.51300568890281,1.58462390355206e-06,0.000234023757724587
"206061_s_at","DICER1",-1.61608551616667,6.40422535745455,-6.50993566519755,1.59562398771334e-06,0.000234023757724587
