"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","likely_gene_overlap_artifact"
"Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","42/743","299/9416",0.140468227424749,1.78014647298982,4.01241330672257,0.000162785329449187,0.00520913054237399,0.00520913054237399,"PIK3R1/ACTN1/RASA1/IQGAP1/AKT1/ARPC4/PTPRF/PMP22/CNTNAP1/FYN/PAK3/KDR/JAM2/SSX2IP/JAM3/EPB41L3/ARPC3/CASKIN2/TUBB6/MSN/NCK1/PIK3CA/CXADR/MAPK8/ANK3/CD2AP/MAGI1/EPB41L1/PRKCI/ITGA5/RDX/ACTB/APP/CDH2/RAPGEF2/ABL1/ICAM2/CD84/MYL9/TUBB2B/MBP/PTPN11",42,FALSE
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","26/743","157/9416",0.165605095541401,2.09870468320032,4.06320426520604,0.000224358914882704,0.00658119483655931,0.00658119483655931,"PIK3R1/HLA-B/ATR/AKT1/TGFB1/MAP2K6/MAP2K3/TGFB3/ATM/PPP3R1/RBL2/KRAS/ITPR2/PPP1CB/CDK4/NBN/TP53/RBL1/PIK3CA/IL1A/MRE11/GADD45G/CCND1/RAD50/CCND2/RB1",26,FALSE
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","20/743","108/9416",0.185185185185185,2.34684213149893,4.12021880268056,0.000259638263956871,0.00703020530098605,0.00703020530098605,"KPNA4/PNN/NUP54/NXT2/XPO1/TNPO1/IPO7/NUP58/KPNA1/SAP18/MAGOH/XPO7/RANBP2/THOC2/UPF3B/UPF2/NUP107/CSE1L/TPR/THOC1",20,FALSE
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","15/743","73/9416",0.205479452054795,2.60403031029333,4.02671341999628,0.000477497796002439,0.0119194860599126,0.0119194860599126,"PIK3R1/BAX/AKT1/KIF5B/BAD/SOS2/KRAS/HGF/CDK4/TP53/PIK3CA/GADD45G/CCND1/SOS1/RB1",15,FALSE
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","24/743","148/9416",0.162162162162162,2.05507256920447,3.78651841241084,0.000530203240691774,0.0119194860599126,0.0119194860599126,"FGF9/PIK3R1/BAX/FZD6/AKT1/TCF7L1/WNT6/SOS2/KRAS/FZD2/CDK4/TP53/PIK3CA/CSNK1A1/NOTCH3/DVL3/GADD45G/FZD5/HES1/CCND1/FRAT1/SOS1/RB1/APC",24,FALSE
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","25/743","157/9416",0.159235668789809,2.017985272308,3.76468960550035,0.000541794820905119,0.0119194860599126,0.0119194860599126,"PATJ/FZD6/BIRC2/GLI2/BIRC3/TGFB1/TCF7L1/WNT6/TEAD4/MOB1A/TGFB3/TEAD3/BMP2/DLG1/FZD2/PPP1CB/BMP6/DVL3/PRKCI/FZD5/ACTB/CCND1/CCND2/TEAD1/APC",25,FALSE
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","25/743","158/9416",0.158227848101266,2.0052132136225,3.72947791670789,0.000596836168062923,0.0123580194798911,0.0123580194798911,"ATR/ATRX/RAD21/PDS5A/TGFB1/NIPBL/BUB3/SMC3/TGFB3/ATM/RBL2/MAD1L1/CDK4/TP53/STAG2/RBL1/ORC3/CDC14A/GADD45G/CDC14B/CCND1/ABL1/CCND2/RB1/PDS5B",25,FALSE
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","24/743","150/9416",0.16,2.02767160161507,3.71341710004517,0.000647072825538941,0.0126538685883171,0.0126538685883171,"FGF9/PIK3R1/BAX/FZD6/AKT1/TGFB1/TCF7L1/WNT6/TGFB3/SOS2/KRAS/FZD2/HGF/TP53/PIK3CA/CSNK1A1/DVL3/GADD45G/FZD5/CCND1/FRAT1/SOS1/RB1/APC",24,FALSE
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","27/743","178/9416",0.151685393258427,1.92230102681204,3.6359140658771,0.00072189352150575,0.013086930553915,0.013086930553915,"ROCK2/SFRP1/FZD6/BAMBI/TCF7L1/ROR2/WNT6/SIAH1/CCN4/PLCB1/PPP3R1/PORCN/FZD2/TP53/MAPK8/CSNK1A1/DAAM1/DVL3/PLCB4/FZD5/CCND1/FRAT1/RUVBL1/CCND2/LGR4/SERPINF1/APC",27,FALSE
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","35/743","253/9416",0.138339920948617,1.7531745567324,3.55432350589238,0.000743575599654259,0.013086930553915,0.013086930553915,"PIK3R1/ATG5/ROCK2/ACTN1/FNBP1L/BAX/CBX3/NAIP/AKT1/ARPC4/PLCB1/ATM/ARPC3/MALT1/SEPTIN11/ITPR2/CYTH2/CD44/TP53/TLR5/PIK3CA/MAPK8/ROCK1/CAST/TBK1/ILK/ATG12/PLCB4/ITGA5/ACTB/MYL9/U2AF1/LOC102724594/CASP4/RPS6KA5",35,FALSE
