"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","25/823","95/9411",0.263157894736842,3.00920892754365,6.09285542930874,3.5914987004603e-07,1.1492795841473e-05,1.1492795841473e-05,"FLT1/VEGFA/ANGPT1/HLA-DRB1/HLA-DPB1/CTSL/CXCL2/CXCL12/HLA-DPA1/HLA-DQB1/HLA-DRA/ITGB2/HLA-DRB3/CCL3L3/HLA-DQA1/HLA-DOB/CCL3L1/CCL3/FOS/ICAM1/CCL2/HLA-DQA2/IL15/HLA-DRB4/HLA-DRB5",25
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","34/823","158/9411",0.215189873417722,2.46069489518126,5.73185882627486,5.88925127212846e-07,1.72751370649101e-05,1.72751370649101e-05,"CDKN1C/CDC45/FBXO5/CDC6/SFN/CCNA1/BUB1B/CCNE2/BUB1/ORC6/DBF4/ATR/CCNB1/MCM2/CCNB2/NDC80/CDC20/CDK1/TTK/PCNA/CHEK1/PTTG1/CCNA2/TRIP13/ESPL1/MAD2L1/WEE1/CCND1/GADD45B/AURKB/CDKN1A/CDC25C/CDC25A/MCM4",34
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","16/823","50/9411",0.32,3.65919805589307,5.83610740141074,2.90180634116145e-06,7.85719870837561e-05,7.85719870837561e-05,"THBS4/PECAM1/ACKR1/THBS1/THBS2/LRP1/COMP/CD40/ITGB2/SELP/MET/GYPC/VCAM1/SELE/ICAM1/CCL2",16
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","38/823","204/9411",0.186274509803922,2.13004788792795,5.05128149726937,5.51905243130885e-06,0.000138764746844337,0.000138764746844337,"FZD7/PIK3R1/VEGFA/ANK2/ERBB4/ESR1/ITPR1/CTSL/THBS1/FN1/FZD4/TIMP3/FLNA/AKT3/GPC3/FZD5/IGF2/FZD10/CAV2/IHH/ANK3/HCLS1/HSPB2/PTCH1/MET/CAV1/CCND1/ERBB3/IGF1/CDKN1A/DCN/PPP1R12B/WNT2/CD44/HOXD10/WNT2B/FGFR1/FZD6",38
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","20/823","78/9411",0.256410256410256,2.9320497242733,5.30400200209013,8.10241298245247e-06,0.000190136624654885,0.000190136624654885,"HLA-DRB1/FCGR2A/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRA/C3/NCF2/ITGB2/HLA-DRB3/ITGAM/FCGR1A/HLA-DQA1/NCF4/HLA-DOB/FOS/HLA-DQA2/HLA-DRB4/HLA-DRB5/FCGR2C",20
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","14/823","44/9411",0.318181818181818,3.63840715784823,5.43020976119121,1.30392207423582e-05,0.000286862856331881,0.000286862856331881,"HLA-DRB1/HLA-DPB1/ICA1/HLA-DPA1/HLA-DQB1/HLA-DRA/HLA-DRB3/HLA-DQA1/HLA-E/HLA-DOB/CPE/HLA-DQA2/HLA-DRB4/HLA-DRB5",14
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","15/823","50/9411",0.3,3.43049817739976,5.33418275137623,1.43447271783167e-05,0.000294421474856811,0.000294421474856811,"HLA-DRB1/HLA-DPB1/CXCL12/HLA-DPA1/HLA-DQB1/HLA-DRA/CD40/HLA-DRB3/PIGR/HLA-DQA1/HLA-DOB/HLA-DQA2/IL15/HLA-DRB4/HLA-DRB5",15
"Human Diseases","Immune disease","hsa05330","Allograft rejection","13/823","39/9411",0.333333333333333,3.81166464155529,5.4466365286696,1.50556436006324e-05,0.000294421474856811,0.000294421474856811,"HLA-DRB1/HLA-DPB1/HLA-DPA1/HLA-DQB1/HLA-DRA/CD40/HLA-DRB3/HLA-DQA1/HLA-E/HLA-DOB/HLA-DQA2/HLA-DRB4/HLA-DRB5",13
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","21/823","89/9411",0.235955056179775,2.69814463390992,4.98268970565504,1.94439054798551e-05,0.000360223933100474,0.000360223933100474,"THBS4/ITGA8/ITGA7/LAMA4/THBS1/THBS2/FN1/ITGA6/COL6A3/COMP/TNXB/ITGB8/TNC/COL4A3/COL4A6/COL6A2/LAMB2/HMMR/CD44/LAMC2/VWF",21
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","36/823","203/9411",0.177339901477833,2.02788069599986,4.58307310743154,2.96968238086299e-05,0.000522664099031886,0.000522664099031886,"THBS4/FLT1/PIK3R1/VEGFA/ITGA8/ITGA7/LAMA4/THBS1/THBS2/FN1/ITGA6/PDGFA/COL6A3/COMP/FLNA/AKT3/PDGFRA/TNXB/ITGB8/MYLK/TNC/COL4A3/CAV2/COL4A6/COL6A2/LAMB2/MET/CAV1/CCND1/MYL9/IGF1/PIP5K1B/PPP1R12B/LAMC2/VWF/PDGFD",36
